Episode,avg length,reward
20,86,-91.0156489254902
40,38,-81.47420465146223
60,328,-58.594374813324876
80,206,-187.32430729630772
100,224,-112.49550458093105
120,347,-102.14826463665659
140,200,-114.74935991787397
160,226,-73.11711187732648
180,302,-111.57278172578576
200,158,-111.0950604570983
220,123,-99.98153297298627
240,153,-100.13304887796143
260,281,-90.89982993224565
280,266,-89.3862977370221
300,387,-70.24390837399531
320,457,-38.32821160716863
340,452,-45.00191788752274
360,483,-35.46289613610063
380,399,-3.553083099991537
400,412,-20.14836965514937
420,317,-45.94384293182806
440,367,-56.347751139104886
460,349,-29.73026935000943
480,250,-64.02993855824761
500,264,-95.4511748252544
520,204,-90.49536250664065
540,152,-108.11184826265212
560,112,-111.6718667916432
580,292,-49.36809540748224
600,108,-110.49797780033047
620,320,-19.687043728735667
640,335,-11.171828493176339
660,245,-30.916620481911615
680,100,-117.17612690655285
700,289,-49.61262877177465
720,328,-17.66980640035888
740,305,-51.89471625237536
760,291,-54.79420788805139
780,221,-126.63566613716345
800,156,-78.74237568861665
820,199,-165.7491291230204
840,232,-120.15766252349977
860,261,-158.55094168686134
880,226,-132.93744425685125
900,297,-108.66749492519212
920,296,-220.8104944250269
940,220,-230.9707349551862
960,207,-177.76380358745752
980,136,-135.55343474820052
1000,216,-158.81608853893928
