Episode,avg length,reward
20,82,-133.8968889985353
40,47,-117.4661952804569
60,161,-134.74997798158302
80,277,-158.42529135311474
100,190,-134.820946445718
120,236,-115.31856560310852
140,204,-110.09140635459069
160,342,-60.59123574202981
180,76,-117.7769715702329
200,245,-76.72122062920549
220,126,-111.41056112504495
240,382,-30.839638713662453
260,398,-34.62629754237661
280,479,-7.035302355631446
300,135,-106.45909811850387
320,359,-41.219890497460256
340,475,-6.037279927980322
360,400,-29.60281648500642
380,499,1.6613950359201652
400,364,-36.57247716141209
420,237,-76.18512311811813
440,71,-117.99039596183204
460,81,-117.8471787879852
480,139,-101.84718328233036
500,68,-116.59655968611635
520,83,-117.87101673436428
540,415,-30.57868967338963
560,349,-49.551789196911606
580,424,-28.134035979227804
600,409,-21.882179412634184
620,239,-63.07438154877773
640,386,-29.18964504431161
660,474,-7.04381801098503
680,478,-7.52373587985918
700,241,-72.15401146105336
720,388,-29.531307615944097
740,425,-17.4429370321054
760,475,-8.117484295106397
780,463,-10.6775449638318
800,402,-23.58121075490171
820,475,-5.077904472193071
840,474,-6.305034802425555
860,282,-59.09231829309756
880,166,-251.07337254990634
900,179,-258.9751609794389
920,160,-214.2526654677266
940,148,-236.1498532000801
960,264,-248.5263368495088
980,209,-250.58625533060345
1000,178,-216.1018345497825
