Episode,avg length,reward
20,139,-97.99865778896024
40,154,-100.00000000000206
60,192,-90.43192177630561
80,263,-75.88522406053863
100,344,-60.92288810538993
120,247,-85.4459594697226
140,246,-97.00089017305456
160,216,-84.18139223684508
180,80,-103.60728195635883
200,54,-97.17047777952155
220,67,-97.57915660306321
240,78,-100.19401324392446
260,56,-104.58183953897644
280,79,-99.68632844682536
300,199,-94.07041637315557
320,302,-67.8478238749552
340,220,-95.00000004333569
360,175,-99.9999999997904
380,377,-43.84452866980991
400,394,-46.042337077514766
420,208,-87.04817651493141
440,365,-65.00002422081388
460,142,-99.9862279050314
480,183,-97.28486697101312
500,180,-95.09355980381675
520,332,-70.76303222698888
540,203,-89.04209465399325
560,141,-99.1635452469441
580,198,-99.37732843346768
600,157,-95.78829443927835
620,385,-34.38660798757605
640,247,-68.18626675240712
660,202,-94.57321421688884
680,141,-97.17629996769254
700,306,-49.990170133096434
720,371,-37.61611039051182
740,414,-23.01742440248376
760,499,0.26140496407756314
780,499,0.28577626484725227
800,451,-8.703015088057814
820,415,-27.043670623459633
840,316,-64.360709101155
860,277,-69.45851607841983
880,246,-81.73125599590914
900,230,-89.98839978362159
920,167,-90.29145013341012
940,234,-68.57579566370467
960,247,-69.12725948487119
980,234,-74.26815544358863
1000,216,-94.7712346956491
