Episode,avg length,reward
20,218,-79.57888918190025
40,270,-78.59679603468639
60,202,-85.98958348317083
80,235,-80.77975741068218
100,240,-84.01747454523634
120,191,-83.35289925125025
140,179,-84.82989853662602
160,196,-84.20996573133951
180,203,-83.35289925115654
200,187,-84.2326038711374
220,297,-83.35289925086254
240,368,-43.981351068840404
260,439,-9.857818698064134
280,355,-16.26005720562089
300,434,-28.353172546589214
320,192,-86.82588621658991
340,213,-85.22817245469234
360,200,-83.52488003123179
380,173,-84.09463145066972
400,151,-84.50043454606873
420,157,-83.35289925165931
440,151,-83.3528992517029
460,173,-79.24509624722711
480,185,-65.42610968303367
500,187,-60.34827622545409
520,201,-69.74775658878826
540,137,-84.75128316442773
560,144,-83.35289925198695
580,135,-83.35289925179414
600,209,-73.32160967547446
620,189,-83.35289925234937
640,176,-84.85117394652319
660,162,-85.18712305729144
680,156,-83.45931451355233
700,159,-83.35289925211195
720,171,-84.05226008104762
740,159,-83.35289925211852
760,258,-71.84487206667058
780,147,-83.35289925200613
800,139,-83.35289925192173
820,145,-83.35289925203155
840,137,-84.1914427650731
860,146,-83.35289925203048
880,131,-83.99537168803548
900,131,-83.35289925182974
920,128,-83.49589102972007
940,114,-83.86517592458469
960,105,-91.78807077585927
980,129,-87.053295623534
1000,113,-91.65104744612512
