Episode,avg length,reward
20,372,-55.579398849519144
40,375,-45.95819844134333
60,347,-36.75705295520381
80,312,-90.3663011793328
100,329,-80.23436965062083
120,286,-95.4235553958968
140,311,-95.09137549642938
160,373,-70.38932191087767
180,306,-99.94266595443018
200,266,-101.03237718636802
220,287,-95.3267380555381
240,277,-100.5890734539439
260,338,-85.30024938726082
280,277,-100.04727707031755
300,273,-95.25760823037601
320,263,-95.43802477640632
340,238,-95.80678904913691
360,237,-95.82128633408401
380,314,-41.33619441299893
400,373,-55.98862585820083
420,322,-85.34195771661203
440,231,-95.89292938894474
460,256,-95.7012891356915
480,305,-65.6815851127939
500,358,-55.87485963864682
520,328,-70.89344973034943
540,355,-55.86195581763552
560,321,-90.55199426453672
580,295,-100.0720257728614
600,273,-100.52591712693693
620,246,-95.83384881442521
640,261,-95.25322278966836
660,274,-85.3200192316014
680,281,-95.55273440063817
700,245,-96.0001240331263
720,284,-85.49705277454194
740,256,-95.73557810564412
760,289,-90.06277989796553
780,287,-90.19781637179292
800,241,-95.4955882082958
820,230,-96.18949670248314
840,252,-90.48816234090685
860,322,-75.20191171074433
880,288,-95.08690762903436
900,314,-85.09619521949382
920,265,-95.3752129241862
940,290,-95.37990450336096
960,273,-85.3399182131428
980,260,-100.24273498690297
1000,234,-95.95249941929262
1020,231,-100.78383393589051
1040,304,-89.95243197189129
1060,273,-95.2082339509301
1080,231,-100.47223891686835
1100,231,-101.10233358347537
1120,309,-99.94185444402935
1140,302,-90.23932771510724
1160,262,-95.69616999945097
1180,273,-95.38469036619367
1200,313,-85.01574115935831
1220,268,-95.39201752033959
1240,289,-95.19673010772718
1260,267,-95.41298973074362
1280,276,-95.36247165651227
1300,278,-95.22048521327442
1320,307,-84.97117719920445
1340,261,-95.38051789328071
1360,233,-95.98543708062063
1380,299,-85.15900047088861
1400,266,-95.39690855657575
1420,258,-100.25161313357226
1440,275,-90.56388482689329
1460,258,-95.41696792765111
1480,274,-95.28746290330541
1500,282,-95.21710090035727
1520,303,-90.0404248808873
1540,260,-95.4235557803287
1560,282,-95.14647940384918
1580,255,-95.53109954582735
1600,262,-95.26797937340788
1620,268,-90.36934639376194
1640,264,-100.29784819730693
1660,268,-100.23415578405658
1680,273,-90.40248094161444
1700,268,-95.40642165696796
1720,293,-90.29956237317131
1740,250,-100.48358013713354
1760,299,-90.08345519365665
1780,278,-95.49720578693889
1800,259,-100.17625073850897
1820,261,-95.59397275640836
1840,318,-89.95264747571126
1860,319,-80.11756521005834
1880,258,-95.49765814607984
1900,309,-89.95270068379754
1920,293,-90.17640212277588
1940,229,-90.94629627027138
1960,249,-100.22938470124326
1980,243,-100.68441894052356
2000,319,-84.95823207737972
2020,314,-85.06394823380315
2040,258,-95.38480858219702
2060,275,-95.35328671891318
