Episode,avg length,reward
20,158,-830.492832263579
40,170,-771.3997030778659
60,199,-998.4418939563811
80,307,-1141.6898050968452
100,187,-1074.3843667947654
120,245,-1025.459507389126
140,183,-1227.66231617968
160,228,-959.518849663105
180,178,-1280.8370391272194
200,204,-1137.9683285011913
220,264,-837.2490245705358
240,306,-1081.4328437014099
260,296,-1166.6907597851048
280,348,-855.4006017573959
300,237,-1159.1116415037836
320,271,-902.83786020764
340,277,-1249.6215592204148
360,237,-1293.9445644238224
380,233,-1420.840540693983
400,191,-1353.42361968857
420,248,-1396.2280942390591
440,268,-966.3096587374994
460,267,-1202.579032020645
480,261,-1178.7941977523992
500,265,-994.118915999575
520,223,-1119.0989533001734
540,301,-1005.9754830900226
560,278,-1255.9165191405978
580,293,-1380.8563892933462
600,311,-1329.3585250691488
620,245,-815.3990826829514
640,182,-1199.9735963867051
660,213,-935.3978164008682
680,185,-1229.7294726577993
700,192,-1038.5813567386726
720,248,-815.3027814172535
740,326,-1304.4807909727924
760,217,-1244.920673897354
780,338,-1165.7850199895838
800,259,-1207.4234918565644
820,241,-984.1645301310882
840,238,-1025.6417871467513
860,258,-1163.4660527255785
880,205,-1059.5215357450784
900,172,-1257.0155646824458
920,212,-1041.3336306991246
940,168,-1017.0642248817987
960,171,-1023.6470612745325
980,102,-814.5756916801786
1000,142,-757.5936334796032
