Episode,avg length,reward
20,70,-86.01040995156802
40,127,-91.44629811432448
60,164,-98.6065422627422
80,97,-92.00189592140455
100,180,-102.43897779941885
120,187,-90.06809149312497
140,170,-107.22199201727096
160,193,-71.45175214267967
180,182,-93.09534747045294
200,133,-56.42791122435997
220,150,-81.1490739933993
240,194,-111.463629890787
260,175,-69.90564505549017
280,251,-158.52558502146843
300,169,-83.28007198635561
320,261,-131.6313915933061
340,185,-81.67901781388221
360,216,-84.83667986956263
380,241,-90.87103083542956
400,245,-118.08863135425194
420,267,-197.78299667537996
440,274,-274.9977741470692
460,251,-107.78066382577349
480,231,-141.3004584042191
500,236,-61.10793422195103
520,208,-71.32763908285415
540,258,-80.15133790116644
560,186,-83.51407361171393
580,101,-70.02449724764152
600,65,-70.30808267550833
620,67,-73.9255461235286
640,66,-76.33043262155061
660,86,-101.02320115565976
680,149,-104.39999963092873
700,104,-77.72080695813051
720,141,-106.81215477838217
740,112,-82.84309784650371
760,304,-129.4211644344511
780,234,-136.80086557490964
800,204,-92.78343659344529
820,225,-106.81870015122111
840,174,-88.72271395001582
860,204,-107.05601322506834
880,217,-125.02203380957528
900,221,-87.83653782996961
920,152,-99.64216978999971
940,213,-75.1844009517679
960,288,-15.94594351836876
980,252,183.4123959678484
1000,281,257.5672942254144
