Episode,avg length,reward
20,126,-124.06407472498302
40,208,-153.72351033628667
60,166,-123.66598884591436
80,75,-115.82735808482855
100,150,-116.12510232967551
120,164,-116.20570539318676
140,138,-117.30980178115105
160,157,-121.70189231165378
180,254,-114.58768032827334
200,118,-131.90725373413164
220,134,-117.70175801703044
240,162,-128.37166522738204
260,66,-116.90982348627942
280,59,-117.91145240743901
300,74,-117.71405942271424
320,120,-117.24876088443902
340,92,-116.67495035345041
360,76,-116.65232012613419
380,135,-116.95285320402748
400,105,-124.89085949368459
420,122,-117.49199562126327
440,83,-116.8956428515236
460,84,-117.18977540484529
480,127,-111.27257911784292
500,126,-125.60802798899337
520,122,-124.49291815745869
540,174,-152.589163586221
560,212,-226.23771930544223
580,216,-196.33560308650195
600,214,-214.11065936524034
620,173,-148.03996151795224
640,168,-132.99731308716974
660,152,-133.253042207215
680,99,-117.31079340797498
700,100,-116.75901885598212
720,161,-117.32011066966534
740,191,-173.75574234447157
760,107,-134.92202160841
780,156,-154.4401535258583
800,176,-250.55339136842622
820,203,-140.04224325123545
840,217,-189.81429425331345
860,208,-192.78704208724804
880,387,-82.77372978073987
900,425,-15.989752528723931
920,499,3.211249034135533
940,499,4.495690180544279
960,499,4.059088202601434
980,499,5.334913555162085
1000,499,4.590425564361057
