Episode,avg length,reward
20,168,-97.55778217831127
40,155,-93.17247673208706
60,171,-91.9444877322459
80,153,-98.52184504471617
100,211,-93.38648328213836
120,177,-101.58137988780493
140,234,-97.84048779424197
160,243,-101.88838684114292
180,182,-99.29784233727858
200,235,-99.64469336689031
220,160,-100.7622420306183
240,165,-99.21588629683177
260,181,-99.95071191551003
280,176,-100.07817607713798
300,197,-102.3820785630228
320,211,-100.71607517829794
340,172,-100.1550151252975
360,149,-100.54474900997874
380,307,-58.03958686108571
400,346,-43.907648958308826
420,379,-54.019266174101894
440,255,-91.59958229355227
460,198,-89.14760720881782
480,373,-53.31355442932943
500,383,-22.949793917744636
520,486,-4.756350259045346
540,391,-32.86574773388735
560,312,-41.831005459034245
580,430,-12.381596679386508
600,482,-3.269848120088523
620,474,-4.316513579339766
640,474,-4.123193408671765
660,455,-19.857847616222738
680,331,-57.31441183612003
700,249,-89.54174380243025
720,293,-67.01074818564858
740,374,-40.77586280677771
760,373,-50.01577964268107
780,397,-23.974974558269203
800,341,-49.6790830680315
820,272,-90.26838542636027
840,380,-54.54022654604112
860,357,-49.97280014997585
880,320,-71.72910630008394
900,83,-101.60625420063218
920,73,-105.58764315710883
940,68,-100.0955496748635
960,72,-98.54425297572111
980,68,-100.87145647400123
1000,72,-98.2919891455897
