Episode,avg length,reward
20,166,-81.50746789441968
40,161,-63.622604466910346
60,111,-61.857180813448466
80,331,-62.24748656363998
100,248,-74.0307051440546
120,161,-76.38084386427576
140,214,-80.47544996111974
160,201,-75.62001828972059
180,244,-77.82667959165899
200,284,-72.16251293314903
220,325,-48.49033556399452
240,270,-70.06323867716875
260,294,-62.22665694344262
280,235,-70.46970874466696
300,253,-74.94955880775692
320,340,-44.84795765162393
340,397,-19.693860438947173
360,352,-27.9695520463551
380,418,-5.316275372032861
400,383,-18.41933169935018
420,452,0.6868495822389818
440,333,-30.72478736138
460,413,-12.68152925091925
480,474,11.051943471530157
500,474,11.415916455701936
520,451,5.882210546574213
540,499,16.356337197966415
560,499,17.009314637301905
580,499,16.628994399674475
600,474,11.586493304655724
620,499,17.740660994594545
640,499,17.010317131235844
660,466,6.4409824583337185
680,499,17.0857961079931
700,499,16.82555606945061
720,449,-1.019787511698366
740,499,17.427250530249964
760,343,-43.42579516928904
780,367,-29.050390362162176
800,425,1.4749098127725382
820,499,17.374011325214248
840,499,17.840855847315844
860,499,17.813827811782396
880,499,16.46041680919573
900,439,-0.48670527442248934
920,474,7.933162820747943
940,474,7.166964981929408
960,404,-19.105862326714153
980,342,-43.35842340921012
1000,396,-19.33624776868918
