Episode,avg length,reward
20,400,-31.74977799830492
40,400,-21.34373690238209
60,448,-16.1043688284471
80,441,-25.89868754141557
100,439,-30.654476057168004
120,364,-55.91772378602337
140,387,-41.297542771073736
160,415,-45.73739016820902
180,418,-50.39001637195613
200,404,-65.40993653543276
220,448,-25.747997013144754
240,287,-90.72487248838084
260,411,-50.798550339239334
280,333,-80.70469458114924
300,359,-80.39528849769324
320,341,-75.83380455581396
340,353,-75.623737561324
360,320,-90.41439932351662
380,430,-45.28650854339887
400,296,-90.82670794431374
420,309,-80.70869166404619
440,339,-80.53524001989658
460,375,-75.49825985252602
480,352,-90.17487187843778
500,292,-100.66772985942598
520,366,-80.45266397572917
540,387,-50.62538568691754
560,392,-75.14146844259389
580,302,-95.64565726733794
600,323,-95.39272123091058
620,319,-85.34430112399909
640,380,-55.66890420049506
660,364,-80.34072741800988
680,374,-95.18341702897692
700,347,-85.42024357655637
720,405,-60.389604774187674
740,392,-45.72628363314489
760,430,-40.831647257855934
780,421,-40.70249031958663
800,339,-75.42819274194747
820,356,-75.68661964647143
840,373,-60.46988743394039
860,324,-85.74421592137986
880,411,-55.46459264658421
900,372,-60.70461342844341
920,328,-95.38588667836731
940,294,-86.02000003167905
960,392,-45.908731627232626
980,457,-20.656428420408467
1000,307,-76.37307060167664
