Episode,avg length,reward
20,81,-614.8701319590431
40,36,-277.10436856725346
60,140,-1046.1623260905599
80,36,-287.08541588786585
100,30,-261.49719223886694
120,41,-325.57571272577417
140,32,-271.9938545703501
160,31,-260.3230399441262
180,23,-244.74213708433763
200,23,-226.20949651274768
220,21,-231.88034860661952
240,29,-285.908437616654
260,27,-272.281167905658
280,21,-211.941585323644
300,25,-259.051349069356
320,25,-254.89065164596155
340,25,-253.732706383982
360,24,-262.12332960670665
380,24,-248.21726822250972
400,21,-235.9655491624166
420,26,-262.53290797452917
440,26,-266.8880310182063
460,26,-248.90633022789652
480,24,-264.6588488529914
500,23,-234.95365753681784
520,20,-220.35275342642726
540,22,-240.25623406172372
560,23,-237.96320342626305
580,26,-267.493923247539
600,21,-246.74434108915352
620,22,-235.98348945975476
640,26,-238.8330398601135
660,23,-249.84988133054154
680,25,-248.2412464174481
700,24,-263.5084837765448
720,23,-233.72643484927912
740,22,-244.43494944339014
760,30,-283.02186697810333
780,25,-252.45926125895204
800,24,-235.31927666683342
820,23,-247.7255519224148
840,20,-231.18520197753446
860,23,-246.12880510092617
880,24,-240.08467294409115
900,24,-247.3633909603706
920,22,-259.85156177411466
940,24,-253.96859945362675
960,25,-247.5208652284461
980,24,-233.88274311379467
1000,26,-252.1875740591201
