Episode,avg length,reward
20,242,-81.53564375947194
40,235,-74.66132345283282
60,222,-96.33265459618084
80,144,-105.45227185716456
100,124,-96.9387956615587
120,161,-87.80251790443035
140,162,-93.47965324212535
160,195,-96.89420022471259
180,355,-58.19070193871231
200,235,-57.49432685019015
220,236,-158.06414193537364
240,267,-65.38973880239874
260,226,-107.872403716683
280,177,-100.79864579623546
300,355,-49.238327879614445
320,311,-82.92898722789536
340,259,-85.99817280474022
360,346,-296.47554709718673
380,393,-795.9662987177878
400,379,-559.9980888099017
420,402,-670.9896659962153
440,313,-989.0978622939577
460,127,-246.4037135206767
480,82,-97.9535715402501
500,87,-96.50258877155883
520,90,-110.26061336524224
540,89,-80.76341817208501
560,81,-103.47845749744017
580,77,-103.0298549059964
600,353,-323.200394132704
620,160,-471.86387258980096
640,320,-1232.4068222280873
660,208,-546.2606234904811
680,431,-697.9614746021764
700,425,-811.3903018528459
720,407,-365.76629517723757
740,288,-138.33306587326186
760,69,-94.67632021940753
780,224,-731.3115954989785
800,85,-100.84923246348916
820,64,-85.16500171778864
840,60,-83.44499664277532
860,65,-94.8736547451334
880,70,-104.80159421782712
900,71,-95.41573463678841
920,64,-95.51327814275547
940,76,-102.78115740142982
960,68,-97.00742552425733
980,67,-92.96367897080697
1000,73,-98.17866874301492
