Episode,avg length,reward
20,189,-117.52346229869872
40,323,-80.12704878051353
60,332,-46.901175279566345
80,426,-16.38815192709057
100,482,-3.3023490666202635
120,378,-25.896725337431718
140,426,-24.50396533184276
160,475,-4.411894960571179
180,385,-25.75485411679144
200,379,-27.81989774706442
220,353,-31.358603544525494
240,379,-25.9152860024937
260,426,-13.522574389103946
280,426,-14.698048424546542
300,359,-32.91543610787407
320,474,-0.4851349358643843
340,329,-37.01633096493637
360,330,-40.726060967176835
380,331,-45.66183182217809
400,332,-51.02695755555004
420,450,-9.139928798374026
440,403,-33.40383644545502
460,474,-17.39033614367718
480,426,-19.14456703081598
500,426,-13.687201428527782
520,402,-20.055420668553293
540,426,-14.799348266596311
560,426,-15.5554422156398
580,427,-16.817876632855768
600,404,-27.384498763407805
620,428,-17.02632515954316
640,450,-8.621026742157023
660,355,-34.876726866870364
680,403,-20.82682847563686
700,378,-25.39464664780754
720,404,-20.397157070254842
740,402,-22.386202942838914
760,474,-7.5579973858411025
780,377,-24.51717997065135
800,401,-22.30811810280309
820,450,-9.089777832929013
840,426,-14.15964589113124
860,450,-8.701038539779374
880,402,-18.40025034260575
900,426,-16.375301456731307
920,427,-19.20349048329889
940,474,-2.8368919013035105
960,308,-43.898987822624406
980,426,-15.788574893606015
1000,380,-25.655843757880753
