Episode,avg length,reward
20,119,-101.08214071957512
40,320,-64.32136782971598
60,487,-20.146508918007754
80,288,-89.36174789235665
100,195,-99.99999999989866
120,153,-100.00000000038017
140,144,-99.27745746372112
160,164,-100.19970545522101
180,144,-99.47065157150635
200,160,-100.00000000002964
220,170,-100.0000000002087
240,238,-99.70271937399959
260,246,-100.00000000019413
280,301,-90.00000000018476
300,474,-6.28176797554061
320,479,-3.686608222093173
340,393,-24.61404450290741
360,191,-77.97384119530525
380,409,-27.005788235888996
400,463,-45.00009720271737
420,313,-90.6701711359935
440,255,-99.99999999998852
460,261,-99.99999999996979
480,196,-100.00000000006023
500,215,-100.00000000025318
520,200,-100.00000000007779
540,269,-99.99999999982263
560,462,-11.703000714248097
580,474,-4.867196084153189
600,499,-0.8354550393839316
620,276,-61.74984385947312
640,499,-1.1398300180360956
660,495,-7.192976810740229
680,474,-5.679472741357211
700,449,-20.592025301187636
720,387,-39.013213512968306
740,434,-23.967808222543624
760,154,-84.84124808024914
780,99,-100.20878220276963
800,327,-59.931639908544376
820,499,-2.354165369171754
840,243,-78.29476034283012
860,218,-84.1366177710242
880,316,-51.29416047811776
900,467,-14.385099096231965
920,498,-5.97592618430725
940,450,-9.328853559380713
960,499,-0.046769349422510306
980,336,-89.9999999976159
1000,306,-100.00000000034554
