Episode,avg length,reward
20,206,-88.73654223079606
40,200,-78.45699196477821
60,216,-73.1002202040988
80,176,-84.55376509726766
100,237,-69.52719679287344
120,243,-67.55845778702671
140,109,-97.71713843054246
160,120,-88.60437590975997
180,135,-86.34205806525281
200,194,-84.65635633909855
220,127,-85.54039225094562
240,120,-87.59742333635202
260,121,-84.54391168337483
280,139,-83.35289925186777
300,137,-84.6169619648106
320,163,-83.46606044300684
340,158,-84.18578027279374
360,138,-86.0014189211228
380,167,-83.35289925221535
400,147,-83.53160652119512
420,149,-84.27262637644107
440,147,-83.35289925201259
460,139,-84.87297165753942
480,139,-83.54446603869505
500,137,-84.98848043757457
520,123,-85.09553148221073
540,149,-84.53969092623323
560,151,-84.3122171134766
580,161,-84.01499188901182
600,147,-84.75004922291836
620,152,-87.35361083190396
640,136,-85.68954278735256
660,111,-88.42007760080074
680,175,-79.66653412919062
700,164,-83.35289925218107
720,143,-83.35289925199493
740,200,-79.65509532398157
760,279,-55.16536835687892
780,346,-50.82934909991045
800,362,-56.87410306203897
820,256,-83.35289925261937
840,226,-83.35289925235871
860,176,-84.39025573957184
880,160,-83.35289925216259
900,157,-83.35289925206735
920,144,-83.41088249927644
940,152,-84.57022265081304
960,151,-83.4715261279004
980,143,-84.3838864743236
1000,144,-83.35289925195387
