Episode,avg length,reward
20,259,-72.28506879454241
40,396,-31.12443405032925
60,347,-46.29000726765732
80,331,-75.53149096498741
100,310,-90.25730102344353
120,202,-101.38296820514793
140,255,-90.9844401872497
160,361,-55.90992654967338
180,334,-89.96738019545771
200,313,-95.23543728391299
220,317,-90.35289060289553
240,291,-95.39551923276846
260,251,-100.33701048103504
280,305,-95.28545290801767
300,274,-85.85268718624208
320,307,-80.5695967184125
340,281,-95.82400015402965
360,378,-90.117059800729
380,287,-85.84380876913997
400,312,-95.42439351200156
420,321,-95.13236900797551
440,250,-100.80647017167013
460,340,-85.18951499220822
480,261,-100.871300859915
500,263,-100.46474515089415
520,269,-100.57190765320655
540,303,-99.93004852842009
560,260,-100.27511409554093
580,253,-90.9468295805704
600,291,-90.27856788975129
620,304,-95.21046781623166
640,296,-95.52619617619824
660,288,-100.17656349931606
680,301,-100.46051011654511
700,298,-95.21393987144423
720,296,-100.38925490695661
740,311,-100.08467632456333
760,327,-95.09332280660804
780,314,-75.82663380197894
800,323,-90.11121052598664
820,297,-100.16721022446575
840,292,-100.33998841778168
860,301,-100.47310527876797
880,246,-95.87848145399471
900,290,-90.74993774942992
920,321,-90.33794386129874
940,310,-100.52428639848864
960,289,-95.40086765198194
980,269,-100.65012887613094
1000,303,-95.33763927781266
