Episode,avg length,reward
20,71,-404.7672842541575
40,94,-591.5332659346724
60,123,-520.4366675422774
80,156,-1020.9579982274843
100,117,-646.3015771292452
120,71,-302.179725190011
140,168,-698.6294942554789
160,217,-543.4886048028568
180,116,-341.85870951077686
200,226,-372.1927187713128
220,146,-317.82620251436305
240,310,-438.56304178778055
260,335,-408.8607287457522
280,281,-360.4859545493789
300,305,-379.9354555225774
320,307,-279.88511203655764
340,428,-312.5043872496584
360,426,-322.61760723795817
380,450,-350.10660583110115
400,430,-384.3629748607558
420,432,-428.8453582097301
440,264,-389.7778509479113
460,289,-383.70236769312174
480,354,-337.13526439469786
500,309,-294.7910319502149
520,377,-311.62027528688225
540,334,-298.44388734097816
560,455,-354.7727038180858
580,329,-317.3670769774816
600,334,-299.91620844727134
620,402,-369.3928908131666
640,358,-287.5669039926923
660,426,-222.90858767158753
680,426,-201.95251629497326
700,426,-209.14506671030318
720,426,-189.26387849241283
740,353,-142.74226282767148
760,355,-229.69689723702692
780,450,-806.6021250654392
800,425,-346.9061859691494
820,427,-640.8170745942687
840,402,-410.86784929321595
860,475,-354.6819282764098
880,499,-478.8797157765219
900,475,-219.9961842408267
920,450,-614.8900805474125
940,356,-261.1433127080023
960,450,-189.8918496524966
980,474,-182.25267496073474
1000,403,-372.7339483511547
