Episode,avg length,reward
20,397,-65.33810812751761
40,251,-96.20788592282717
60,309,-90.18152490700285
80,277,-100.2974643023787
100,301,-95.10624986490072
120,287,-100.36958545379382
140,322,-80.77334813645345
160,439,-35.354993237942196
180,353,-70.75663875687545
200,304,-95.81235729858896
220,346,-99.97022040014176
240,330,-99.95266047848223
260,338,-95.28367427859156
280,298,-100.16767578076458
300,251,-101.05763612370123
320,325,-60.87966631460695
340,305,-95.1346143102702
360,301,-95.24549893907309
380,277,-100.5664485351022
400,263,-100.65587356289896
420,284,-100.64855851943614
440,286,-100.1720512521593
460,292,-95.6816182907546
480,268,-100.28214393771019
500,303,-90.26619253021488
520,287,-100.12862757168143
540,299,-80.64129806489548
560,312,-80.2806824662985
580,297,-95.13750844309199
600,301,-95.23666606967222
620,309,-94.98440758082464
640,270,-85.7800590405988
660,235,-95.69727639705147
680,304,-85.47173567125968
700,281,-100.27551303965785
720,337,-85.07949062497231
740,262,-90.71543429417302
760,271,-100.17230816037298
780,332,-70.52612655292118
800,289,-90.38575233715729
820,322,-90.00871222661188
840,262,-95.63714359821566
860,308,-75.65938996561815
880,293,-95.15710298371873
900,298,-85.4441977491728
920,239,-100.81464229993311
940,306,-85.55225140578413
960,303,-90.06406187516033
980,327,-85.04919716764836
1000,296,-90.30389508360244
