Episode,avg length,reward
20,149,-65.80192599284919
40,116,-94.05921682811429
60,167,-93.51976810006525
80,56,-85.66664213934996
100,57,-100.42915432987603
120,32,-87.79604979990856
140,104,-96.38702581675956
160,173,-98.62039312907328
180,118,-85.73297768540321
200,89,-87.65864275215168
220,54,-80.83064601133799
240,42,-87.28929598829909
260,36,-94.57076337576805
280,35,-84.60770702243396
300,99,-88.56210269901223
320,164,-82.4648181093087
340,184,-83.89609631869017
360,189,-109.52921204967365
380,252,-90.509851613751
400,249,-110.89354518985485
420,245,-175.6905780435076
440,265,-149.4572868287168
460,190,-60.88901214289374
480,249,-165.14612726344447
500,227,-121.6530319257462
520,229,-180.74434715660058
540,201,-75.22391458963953
560,259,-118.4588138324149
580,186,-123.67218489490986
600,251,-208.90981071993338
620,215,-125.6638755410982
640,171,-73.74043213495729
660,205,-127.21647903660748
680,228,-98.26894143699664
700,310,-51.52180503216414
720,230,-71.84907088975699
740,270,-81.59775651548104
760,190,-92.65366410643954
780,351,-105.18881643956061
800,284,-154.00289237533576
820,243,-102.34808964485009
840,184,-98.90969985431498
860,175,-91.72389031907286
880,175,-99.45340698608479
900,181,-97.82824863176
920,204,-101.10141133058877
940,186,-91.41104241951487
960,175,-96.10166175273812
980,195,-94.03919337136422
1000,215,-95.68696298709753
