Episode,avg length,reward
20,140,-143.18167533493838
40,93,-125.80559087147985
60,80,-125.13655200437483
80,96,-149.10160387460635
100,139,-123.17894525415684
120,53,-115.63144999319854
140,39,-118.13531256867225
160,50,-116.7811902886776
180,127,-123.85398515620389
200,65,-117.41857156936332
220,79,-117.83047642679871
240,125,-104.48714470511132
260,67,-117.09954267304155
280,100,-119.42205874178958
300,104,-124.18242200259465
320,144,-163.3701376050728
340,86,-117.10920565799574
360,128,-124.5499766296343
380,144,-149.33344967291615
400,98,-117.214035374836
420,107,-117.31352852442842
440,97,-117.22797650675679
460,93,-118.16788160012577
480,140,-117.58150525323465
500,171,-118.64257651824849
520,151,-116.87590582834677
540,115,-116.46351381447548
560,143,-125.38591803837498
580,43,-118.12807289171212
600,45,-117.83131218892129
620,82,-133.29161534530982
640,179,-178.5774316819075
660,149,-163.82204247667687
680,170,-123.07846184899843
700,165,-117.67115168958932
720,149,-118.87479849491788
740,133,-117.82290801735255
760,113,-117.48474845793135
780,159,-134.23122600524283
800,40,-118.90765486193193
820,101,-132.22510001216233
840,148,-118.38359142907711
860,124,-117.3559303247855
880,121,-117.92287816654422
900,157,-125.25094172430798
920,112,-118.87264772085707
940,88,-118.20630167741028
960,88,-116.8575199608221
980,145,-116.82724473637009
1000,207,-115.06005294067802
