Episode,avg length,reward
20,238,-98.43362382640947
40,319,-76.96154154087426
60,210,-100.4132277568344
80,119,-100.1192225181116
100,163,-99.33480105304963
120,199,-89.84539032027843
140,48,-99.08049218009396
160,55,-98.26282069774436
180,139,-93.99703009705244
200,200,-94.98876011828281
220,302,-64.39974832426547
240,331,-75.23628187060436
260,268,-94.99999999803187
280,190,-99.83619510643888
300,175,-93.88863656877221
320,154,-99.9999999996667
340,187,-86.26931187881786
360,77,-99.91613072254225
380,363,-48.12344181906788
400,222,-78.16324119323461
420,213,-100.00000000004914
440,165,-100.66259423790446
460,171,-100.00000000038662
480,209,-100.00000000010117
500,267,-80.51745093706576
520,374,-69.03578161829054
540,344,-85.00000004792582
560,436,-45.18575825124425
580,433,-34.38624665604161
600,476,-21.86370021281337
620,247,-74.63350355009715
640,137,-102.23190259608586
660,111,-98.25721646086643
680,103,-102.4268041562381
700,355,-49.81849470748541
720,470,-15.161814463568655
740,401,-55.69675304273945
760,155,-92.87356538641053
780,96,-103.15240272251455
800,262,-83.31400761663404
820,346,-73.53883045912269
840,261,-101.39764766110088
860,260,-100.32484355609418
880,208,-99.28095868881326
900,229,-100.6884354766816
920,238,-89.90247355499159
940,340,-70.56195489134782
960,179,-89.26141461864738
980,96,-102.0772170901632
1000,140,-99.86181442999843
