Episode,avg length,reward
20,113,-92.71904675559219
40,55,-103.12810185029328
60,54,-102.46079020689861
80,34,-103.53214902139175
100,162,-93.39574999967563
120,180,-84.37512778345899
140,221,-74.64237929237314
160,150,-87.61394979958709
180,184,-78.5462100319082
200,179,-85.05366124838221
220,213,-74.91860906313167
240,152,-84.87442477069123
260,145,-84.54215910381598
280,249,-83.35289925120507
300,253,-84.14195145624235
320,32,-99.06011868083127
340,48,-99.43180622315542
360,47,-97.90824995586627
380,239,-78.35289053907904
400,270,-74.07007861714997
420,288,-75.78893613280331
440,389,-54.15924535529545
460,215,-83.35289925117164
480,192,-83.35289925134936
500,206,-83.4981240832976
520,117,-94.48384633376648
540,106,-83.31150944683581
560,244,-84.10713153639698
580,308,-80.05913723422665
600,398,-39.746264875858586
620,324,-83.3528992506896
640,413,-39.15007347029704
660,113,-89.21157246868697
680,289,-69.2450604128621
700,261,-79.94359997788449
720,357,-79.12872358568261
740,271,-83.3528992510079
760,291,-70.12308060095562
780,415,-28.35290598314391
800,336,-83.3528992509462
820,365,-73.4565639625329
840,314,-83.3528992512041
860,413,-23.784043272789475
880,388,-24.128817105127748
900,321,-53.68369666013901
920,234,-69.44154887843487
940,249,-61.733038290459874
960,216,-75.37318693068073
980,198,-73.42271435329155
1000,302,-56.68088455183708
