Episode,avg length,reward
20,185,-90.26260434951531
40,308,-57.58822446623729
60,344,-48.397679655274594
80,389,-36.09102972895113
100,419,-37.354908606862914
120,128,-95.83920262547521
140,374,-56.36108110940709
160,355,-75.63365317790343
180,273,-95.96647566234938
200,412,-50.368816467724734
220,400,-60.4897130612056
240,362,-60.64898184768625
260,307,-80.61315431240445
280,211,-96.3488646938904
300,331,-85.45583968837394
320,358,-85.41720833751772
340,369,-55.67738447687118
360,300,-95.33357291216495
380,320,-100.11782462064971
400,285,-95.6229155344117
420,280,-90.76480977912492
440,295,-95.52095085003498
460,270,-100.69428433196177
480,312,-95.53376814142045
500,271,-100.38600129780635
520,300,-85.44600715484599
540,271,-95.67856599141814
560,311,-95.39764498518575
580,249,-100.49779291598551
600,293,-100.54076793433839
620,261,-101.00144889059662
640,312,-100.21664300773503
660,268,-100.57450312998414
680,269,-100.58589938063089
700,350,-80.08369475938699
720,300,-100.31482566915004
740,247,-95.94617905252792
760,308,-99.93073225020635
780,288,-100.25680296345458
800,327,-94.96921714989672
820,314,-85.56662648410192
840,299,-95.71426053570859
860,340,-100.18113304491234
880,404,-31.03863257285916
900,365,-41.16973875915478
920,298,-100.13475318359225
940,320,-95.14576603054263
960,278,-95.41721830474964
980,354,-85.26232338570057
1000,353,-75.57008065858851
