Episode,avg length,reward
20,143,-922.6993939369397
40,98,-790.7701826111709
60,71,-412.65015027153595
80,167,-679.7318028951224
100,107,-454.69493102560483
120,116,-401.8093144983642
140,62,-318.10788887964
160,158,-496.0950550350368
180,211,-1410.830433982283
200,248,-773.7928789225215
220,83,-351.3039052573541
240,168,-432.9187736330571
260,222,-534.8961022435908
280,62,-294.0853016567547
300,64,-299.71607065046993
320,341,-593.2225756166574
340,150,-343.5619846950794
360,310,-789.238669318863
380,138,-420.290205737935
400,224,-652.2089887937348
420,281,-968.2147066993233
440,118,-378.90571922117283
460,297,-536.67340118344
480,91,-366.8040979719857
500,58,-267.9767211437375
520,139,-284.799793766517
540,378,-339.55401241035395
560,475,-481.21560797631554
580,336,-412.8274159927878
600,426,-389.5710618721413
620,451,-623.0359326230645
640,426,-321.87135051032203
660,474,-267.46538878508215
680,475,-257.0845368474796
700,450,-325.6393417222244
720,450,-294.7996815879316
740,379,-244.0753506568978
760,211,-326.77603438179347
780,334,-358.06571189565807
800,353,-326.04944689911997
820,426,-454.41041099403475
840,320,-331.51774742730555
860,310,-302.0849889417924
880,319,-304.4496055460302
900,417,-299.3372315137427
920,401,-544.0444476760091
940,367,-1140.7807339243204
960,270,-1285.9976482136613
980,152,-1009.4553839902115
1000,229,-1051.4917006724484
