Episode,avg length,reward
20,203,-98.3001112065498
40,243,-119.5232392592422
60,244,-73.05591890894372
80,154,-88.90886858126005
100,121,-85.45825670735013
120,181,-64.26411719830564
140,222,-105.93902717621287
160,174,-92.39817599227712
180,171,-94.93588120347856
200,149,-93.21853945741961
220,149,-100.54433204940428
240,153,-93.77638359328681
260,161,-94.89645894826842
280,152,-96.50270256141133
300,130,-98.81171007065717
320,142,-102.15874702915637
340,135,-97.12737094970855
360,146,-96.62240915086096
380,139,-99.46957853238466
400,128,-99.12642497299073
420,133,-101.72963743239777
440,133,-91.33069568338728
460,124,-96.49168587624983
480,131,-90.98965299288847
500,126,-97.26603353023968
520,132,-98.52086598360395
540,133,-94.51144861216656
560,139,-92.07027945059428
580,148,-103.2817469292927
600,157,-90.75025341516282
620,160,-98.26336997981657
640,165,-107.6611150115352
660,135,-90.63012619347919
680,169,-99.44576591347955
700,179,-86.19616483562928
720,174,-102.27168562899718
740,177,-93.28212572855723
760,214,-87.02432308888338
780,199,-99.50549894980597
800,199,-100.44886586224786
820,281,-67.82159225426236
840,232,-346.0764639226425
860,249,-215.99547526694082
880,117,-151.26604948870823
900,99,-102.82168946729004
920,94,-90.66299036441258
940,131,-102.50075139823346
960,282,-443.0614379622005
980,166,-211.1467886681724
1000,188,-245.61730546938946
