Episode,avg length,reward
20,254,-97.20432151830147
40,208,-92.60260403183322
60,142,-99.29261725671455
80,148,-94.2340938227196
100,137,-98.27948882400337
120,125,-87.48932939475397
140,150,-98.39751781990427
160,158,-90.79215909421225
180,139,-86.75933919708385
200,209,-84.343886170278
220,176,-84.95769365723727
240,376,-67.18245552403022
260,346,-80.32074370644509
280,448,-46.03738241790709
300,483,-31.44310742252493
320,412,-63.9732682622628
340,310,-87.94041738692854
360,185,-93.03089513842664
380,147,-96.53235220782155
400,135,-100.77810021508438
420,146,-101.24130382028613
440,150,-103.74750133776847
460,152,-90.72114871609371
480,170,-101.39428049734495
500,158,-96.88787785759966
520,167,-91.69620951031825
540,137,-96.35642375929575
560,150,-92.32324555327266
580,164,-95.51448866080365
600,160,-94.94746303594331
620,161,-98.66191151165305
640,151,-101.29404906190834
660,148,-97.60949976738964
680,158,-97.35953816796471
700,167,-96.03557312657745
720,167,-95.62782895966271
740,158,-93.03555360054972
760,185,-96.40466967907739
780,182,-97.17290157875519
800,182,-99.49839919643702
820,220,-93.33793435669457
840,187,-98.33693217260178
860,150,-92.20199539544392
880,165,-90.75697271696889
900,269,-85.1547386506036
920,313,-89.06236968244869
940,306,-66.76385855042716
960,285,-78.38840943168404
980,259,-87.96757131589509
1000,242,-90.39917746505427
