Episode,avg length,reward
20,125,-131.6303389335507
40,139,-119.48178607283694
60,137,-119.24437671098133
80,65,-117.26878767783148
100,74,-116.60880086135458
120,73,-118.62773988179148
140,114,-117.94438546322615
160,237,-101.10923410923984
180,288,-93.28325851129102
200,221,-113.32664836068064
220,193,-110.41706070966363
240,233,-105.9477513808065
260,117,-116.89383620121801
280,70,-117.8813321615846
300,74,-116.65687900723329
320,310,-87.1630360101205
340,258,-111.2211204636141
360,205,-102.87957402489974
380,229,-113.0274733267443
400,197,-106.15780566110986
420,228,-100.27021325987309
440,166,-105.17676006035485
460,94,-118.0984743572927
480,71,-117.1833452786658
500,164,-116.83818746663285
520,274,-105.05524398103987
540,204,-111.88905505620464
560,168,-118.2436387561659
580,258,-112.34597400257717
600,194,-106.59345391033541
620,305,-77.85330080167034
640,208,-106.08064806791613
660,233,-106.79023666730677
680,224,-111.95870808610864
700,242,-94.29789491175087
720,146,-117.03964175037751
740,102,-116.78987136622693
760,153,-109.90397834631305
780,234,-110.68313023729213
800,237,-110.86207519761413
820,138,-118.83791552229275
840,185,-112.53089423477495
860,158,-105.71430349440308
880,138,-110.05507802957659
900,167,-112.01255538422375
920,204,-110.04569073544133
940,282,-89.75479157640443
960,291,-94.28652754404688
980,193,-116.7068740014854
1000,261,-94.53123736815576
