Episode,avg length,reward
20,167,-99.64812905257233
40,289,-70.47674813299042
60,343,-69.73448680662958
80,148,-87.53604684847762
100,318,-53.1999470466278
120,366,-79.53252799521333
140,294,-99.152795504471
160,297,-99.89425856318228
180,420,-40.13399336866489
200,289,-70.28094820831912
220,181,-78.46670864817148
240,251,-83.88214949869584
260,231,-83.17237475925262
280,308,-65.87935541876655
300,273,-74.03239958656228
320,189,-89.63273676680222
340,189,-83.22489594665188
360,276,-70.53065507420257
380,257,-74.8916005699315
400,205,-84.17603045443288
420,248,-78.89105334495875
440,235,-75.69040861075214
460,213,-88.97804254964228
480,263,-68.4152804370107
500,264,-78.39434078328127
520,216,-90.41060240508428
540,216,-85.24112313630798
560,250,-89.99145568182709
580,261,-69.833564404774
600,191,-95.16733394359306
620,243,-85.24478799870482
640,284,-76.08370427743226
660,174,-88.52579120776284
680,239,-90.65466364317135
700,243,-100.44417419450996
720,220,-99.95949066825291
740,358,-79.35608759437767
760,351,-85.12264519527442
780,292,-101.05124723427664
800,372,-84.3042798368077
820,345,-75.284014656268
840,281,-73.43905744367925
860,299,-82.37285015502458
880,336,-60.27137839356975
900,346,-56.3888458233677
920,223,-73.55467526851405
940,258,-74.49639436517829
960,370,-69.4668282534578
980,210,-73.99195782042672
1000,356,-34.33093881108158
