Episode,avg length,reward
20,146,-91.48762096769687
40,263,-64.46075459405353
60,203,-78.35289916121765
80,156,-83.35289925179623
100,238,-63.35203302610798
120,360,-34.957791192883114
140,288,-63.477561598649956
160,256,-63.20812505218237
180,330,-60.90819549110247
200,377,-44.512589638801394
220,178,-77.11865560341577
240,337,-63.67361730255975
260,335,-51.03380366033476
280,353,-41.9902767818232
300,201,-79.67333138569764
320,221,-88.17181810486643
340,232,-86.1671849886507
360,284,-62.08475525645038
380,439,-15.343679610310346
400,432,-28.852773226654016
420,335,-41.50762776952208
440,175,-79.9780251599357
460,182,-62.297424161341766
480,422,-16.164657511221872
500,284,-66.74895665461622
520,400,-39.63305133413606
540,277,-60.777470784499656
560,316,-37.01670714224808
580,440,-13.720875594150522
600,85,-95.98321459495972
620,61,-85.02684591363675
640,65,-88.96093305391152
660,62,-95.64699361333273
680,103,-97.74062281445825
700,265,-64.23462986873677
720,245,-74.26818422150946
740,326,-51.91143767069178
760,410,-16.122867676140732
780,76,-88.96667617300832
800,31,-87.21742778254801
820,286,-47.20663304918543
840,388,-17.413638699418122
860,348,-45.800829862763585
880,294,-63.614955834338254
900,78,-88.87995244895426
920,131,-85.72478626754733
940,209,-69.5982548467133
960,213,-72.80354449033062
980,360,-48.87802495843356
1000,397,-58.783250282336084
