Episode,avg length,reward
20,168,-92.19350113447453
40,277,-95.79514980959306
60,220,-100.8849076636296
80,248,-100.71341811752183
100,249,-100.84306449893135
120,266,-90.949968846719
140,285,-100.37281856744151
160,317,-95.56818113766865
180,220,-102.28935023402613
200,322,-99.94156396371407
220,308,-90.34584888195627
240,324,-99.93581257139871
260,269,-100.16404328159352
280,304,-100.03051988865093
300,298,-100.06810681765526
320,256,-100.27910348905387
340,195,-102.07638839729353
360,226,-100.71003219749409
380,179,-102.99553866661124
400,129,-103.70756145784864
420,211,-102.05860986864182
440,286,-100.00830025849743
460,258,-95.36759613247567
480,280,-90.80808389765163
500,281,-85.34187389655384
520,271,-95.33541282902158
540,283,-95.1339790773178
560,313,-99.92947473956895
580,297,-100.14548308462643
600,307,-100.1859762808492
620,305,-99.98728496511022
640,326,-94.9288821187959
660,313,-95.10340397174593
680,330,-99.9394625032805
700,311,-99.93271618518676
720,286,-100.32983291992215
740,312,-99.93152000005863
760,291,-100.1287621762244
780,329,-99.92937899542844
800,313,-99.93162582887899
820,252,-100.38428429094492
840,305,-99.93349016981904
860,318,-99.93373148334784
880,324,-99.9416806523494
900,294,-99.93084241810432
920,290,-100.03033544993548
940,339,-90.0600650154627
960,351,-85.40168176548919
980,367,-80.16905926746598
1000,403,-65.33030288853703
