Episode,avg length,reward
20,158,-1309.4654147258984
40,112,-1156.8959465853707
60,99,-891.5889035647575
80,37,-337.31681467312404
100,23,-257.4680376266496
120,22,-237.4362512898073
140,15,-221.34097774039975
160,20,-232.26060812102492
180,18,-214.68842840488227
200,17,-216.82552947827708
220,16,-218.1358046414107
240,15,-204.44493507656028
260,18,-214.9291640057541
280,18,-228.0919577101393
300,14,-201.3119145982899
320,14,-209.39907461163438
340,14,-207.8792234130864
360,16,-227.42177392544255
380,16,-227.21195084768152
400,15,-219.0420040009579
420,13,-219.7582157481667
440,15,-224.30328304412484
460,16,-205.13844878722358
480,16,-212.2106841571615
500,16,-211.50288125657798
520,14,-209.8561555015202
540,14,-219.1953935077956
560,14,-194.39034886637768
580,13,-211.87734917163408
600,14,-209.9489182697405
620,16,-234.57704024240087
640,14,-204.11136388971755
660,15,-202.6303189260876
680,14,-219.16954006986916
700,13,-208.48411238832114
720,15,-207.46824370411838
740,13,-197.1092768487554
760,15,-215.72734131151591
780,16,-221.33256354863548
800,15,-198.7737056667291
820,15,-208.04091362054925
840,14,-217.4391167189368
860,15,-213.32192195335568
880,14,-213.17746541552782
900,13,-201.4807479471414
920,14,-216.74960119749827
940,14,-233.7166116513884
960,13,-196.5163836621006
980,13,-207.17069934419504
1000,14,-208.39704400886444
