Episode,avg length,reward
20,186,-115.58979387183248
40,171,-99.82113331293326
60,189,-106.2806228056013
80,148,-88.82134270428351
100,54,-97.18378045539103
120,44,-95.43651726583218
140,87,-91.21345019736917
160,202,-83.91863445281567
180,151,-103.60360664019545
200,274,-75.81020454863138
220,142,-109.96856871263167
240,326,-73.7594326337396
260,260,-61.53869758976384
280,166,-88.3261776389319
300,95,-101.4502693613811
320,302,-88.31379210540311
340,437,-28.307164354025343
360,499,-9.47623216603061
380,480,-18.318562234907013
400,499,-0.5330798188833357
420,488,-13.694356074376145
440,459,-56.85267715117935
460,451,-103.1881558112129
480,330,-136.53760544729727
500,408,-80.69037235453708
520,294,-55.00062343556601
540,261,-90.29322220640448
560,119,-107.56225707283684
580,138,-107.54993345650846
600,78,-95.80496995935309
620,262,-85.9452431635293
640,384,-80.00869914964923
660,261,-64.75550761504456
680,57,-86.3336816757221
700,276,-39.27551935791975
720,352,-66.08517262271535
740,85,-89.4190760271255
760,315,-57.838084657866226
780,474,-25.822584311676916
800,402,-28.728425295505662
820,487,-10.412655780092539
840,416,-46.94123708693601
860,462,-51.69838944765786
880,474,-10.990900756244113
900,415,-22.092458035656264
920,475,-9.991213328248692
940,475,-29.546380894711916
960,499,0.48550975434084664
980,499,-52.04022272448534
1000,499,-31.442825661673574
