Episode,avg length,reward
20,68,-116.5251730573079
40,132,-125.72084976934102
60,60,-117.20907135258328
80,62,-117.17596998176359
100,86,-117.81960512410265
120,131,-120.69475698874712
140,188,-187.18508658265156
160,122,-157.57501393397493
180,132,-126.1230546341549
200,59,-117.37363241986229
220,101,-118.18823034608913
240,79,-116.61834422385375
260,79,-117.70450540980023
280,85,-125.29485404411976
300,64,-116.91355023753799
320,91,-117.83389128749134
340,94,-118.62515155208636
360,110,-127.81298123545419
380,55,-117.55635929884257
400,87,-117.17090496667788
420,67,-117.12369160324332
440,94,-124.07485792925752
460,78,-118.06270152963978
480,193,-125.01941505692261
500,108,-117.44463637626055
520,134,-116.48660103829346
540,217,-105.31583523100649
560,330,-53.447050691504785
580,499,3.301612030870296
600,499,3.3584143585465283
620,445,-15.84425213206959
640,499,3.491588619341478
660,499,2.9980378970949935
680,499,3.439540260619436
700,499,4.96628806022883
720,499,3.9865383419764298
740,499,4.821957378526225
760,499,2.975617463009161
780,499,3.9986980521312327
800,499,4.354859923146605
820,499,2.770696912875903
840,499,5.514605831530288
860,499,5.67955997763245
880,499,3.9419412228558137
900,499,3.845290932376995
920,499,5.455634751694115
940,499,2.3641930297145057
960,499,2.909896323358744
980,499,3.4399225320579134
1000,499,3.1298207200674053
