Episode,avg length,reward
20,102,-99.1284020330352
40,125,-100.20273002998137
60,92,-101.38098169580466
80,251,-95.34172961546822
100,200,-99.43745785078222
120,223,-87.76800521718899
140,195,-99.40923013945522
160,146,-96.79996391875632
180,83,-103.9908183146554
200,134,-106.75830008520056
220,141,-100.95294139595403
240,97,-100.61748824560671
260,209,-98.05692966721507
280,177,-98.24149805896823
300,250,-91.09477334878301
320,78,-95.92107917572825
340,58,-99.67174371814428
360,194,-96.84516048668085
380,274,-58.80937366595886
400,120,-100.73877271373216
420,390,-45.986494682339114
440,447,-14.386179773986663
460,290,-55.02178628396407
480,475,-3.8661694086640757
500,370,-60.824311253104305
520,475,-9.903771969949945
540,383,-52.505120376372794
560,393,-45.2814484663149
580,427,-34.56786612181994
600,481,-5.075001985686311
620,451,-20.18975583285045
640,467,-10.63830103127086
660,348,-63.910535929957504
680,232,-89.30853052585672
700,401,-34.697862846137475
720,383,-54.19349908008214
740,285,-75.0203222584731
760,428,-29.918368496600344
780,368,-45.91129497974911
800,364,-55.048759016934035
820,402,-39.693562631134014
840,301,-70.7864356897783
860,461,-24.646530808395035
880,473,-25.096186265514184
900,440,-41.46185488862238
920,454,-25.286292344901987
940,481,-16.10960299978195
960,465,-14.439194811384999
980,425,-34.95873983402198
1000,481,-10.740949011345878
