Episode,avg length,reward
20,117,-86.82049441053456
40,132,-83.10935840998357
60,249,-75.40461789603961
80,73,-77.75691460302411
100,65,-91.08128727251611
120,47,-72.64941253115097
140,45,-86.9805787339815
160,48,-84.16608999339572
180,44,-89.01862657668096
200,45,-85.92624908158963
220,49,-88.29612554684243
240,175,-76.54927697401197
260,149,-76.96808139611328
280,387,-16.634693224158926
300,322,-29.209000182412087
320,169,-71.48919735627253
340,207,-55.96350971025022
360,342,-42.6353093213048
380,224,-65.09430185424647
400,357,-36.90351372699901
420,322,-48.71037011054433
440,186,-86.76241630148387
460,407,-6.3800838028231315
480,499,16.63999606732625
500,488,12.225467466488256
520,445,-2.516454847859209
540,463,6.869904040355772
560,340,-56.125225883791224
580,440,-4.038743588559737
600,477,5.793611360487728
620,499,14.451170329978202
640,499,17.1745855683092
660,497,10.477992794748939
680,435,-9.69475998141924
700,499,15.680715239142632
720,475,11.49242854456751
740,499,16.938039859623196
760,499,16.025487535179167
780,485,7.381466366333379
800,475,11.233164396062369
820,404,-4.656526737211868
840,499,15.723440398000054
860,441,4.215540373466988
880,196,-83.1894916187015
900,368,-37.469880605012605
920,492,11.532677694642203
940,394,-29.624682192232505
960,490,10.836168815715439
980,465,-3.750983555656372
1000,499,16.626193681911865
