Episode,avg length,reward
20,214,-94.60917338565112
40,160,-93.76323515516813
60,210,-83.18752536797408
80,113,-102.48169656194372
100,257,-90.55341055114319
120,159,-101.4998842514551
140,200,-86.1858872533045
160,207,-91.04554420503538
180,184,-96.30580010952704
200,214,-96.49112635269788
220,222,-100.89569589931615
240,196,-86.51096250259063
260,201,-91.171846308723
280,262,-86.1235642439365
300,185,-86.32746167090441
320,195,-91.50016139114169
340,263,-82.0452928834425
360,140,-101.25422650685583
380,201,-91.74122399594572
400,242,-93.08712818542878
420,248,-96.28098077838774
440,176,-99.59725761584282
460,181,-101.36747287505338
480,198,-91.01284903366468
500,256,-90.78483972401365
520,170,-96.4944659234769
540,267,-70.83120378788318
560,224,-92.62804096419958
580,182,-97.60183120221203
600,220,-101.30441454372931
620,244,-91.18764187055544
640,234,-98.08267063515372
660,270,-90.51331595173704
680,239,-100.9869170293895
700,261,-95.7997619888579
720,161,-92.72233995930712
740,241,-88.10258744275775
760,162,-105.94362370899213
780,217,-99.26965190944388
800,193,-91.89543334974653
820,252,-88.9076505913186
840,298,-81.37340569139869
860,353,-75.61459479444719
880,378,-75.25269399447342
900,312,-65.88617014292474
920,358,-85.38633789805716
940,259,-80.95792463029105
960,386,-85.30477892184106
980,382,-60.594960066419105
1000,356,-80.48085807870689
