Episode,avg length,reward
20,43,-415.7635914331884
40,19,-239.00152656518145
60,17,-210.65906308989793
80,17,-200.9839864043143
100,16,-194.80631902225923
120,17,-222.2599964721416
140,17,-237.54409184125456
160,14,-213.5827799899974
180,16,-219.33823683088
200,16,-207.40308992999195
220,18,-219.3055906976593
240,15,-219.7502727756825
260,14,-199.00924166524527
280,15,-205.5191299031515
300,16,-196.84783656083619
320,15,-197.5861445168982
340,16,-215.7013423885302
360,14,-211.63805505182523
380,14,-208.69872362886963
400,15,-202.06222341862994
420,13,-214.83535055651546
440,14,-217.6892046680567
460,15,-230.1433402984539
480,14,-194.92355069197575
500,14,-200.59865445305064
520,14,-209.44456061978062
540,14,-216.50060596444783
560,14,-199.78511608273774
580,15,-221.22824555815296
600,15,-226.10948328082176
620,15,-207.5018227186079
640,17,-212.40395555728142
660,16,-219.2139572485477
680,16,-232.63191080670762
700,18,-236.3024140315726
720,15,-221.72769476482867
740,15,-233.00502403256473
760,14,-212.90006600647493
780,13,-207.72135620899854
800,13,-209.95185667493175
820,15,-213.27868598539771
840,14,-217.061278702946
860,13,-215.40313008337867
880,14,-209.11150949399166
900,14,-206.78022321929194
920,14,-209.59759851169915
940,12,-193.98725999410993
960,15,-207.51094448069034
980,14,-200.46429464990086
1000,14,-212.79594529536612
