Episode,avg length,reward
20,164,-102.95380297510073
40,210,-99.89445321157004
60,385,-50.15094737252197
80,177,-66.46385989563893
100,184,-55.447070672476514
120,106,-58.62197387563009
140,83,-37.9884492777246
160,88,-43.797269370784264
180,93,-51.21157271090998
200,159,-81.59476847708953
220,169,-83.51542799680992
240,192,-101.84289175430044
260,246,-95.49802822551959
280,306,-69.4835262090309
300,325,-82.56321135582378
320,432,-42.402919399151195
340,490,-11.467399181252754
360,204,-122.56454421310703
380,90,-95.2763193010363
400,328,-33.62931091665643
420,406,126.37019570040175
440,321,102.7235718433852
460,278,124.11359147372157
480,373,30.746580905747216
500,166,-93.24899734044679
520,238,-99.822190271948
540,188,-100.02503703181097
560,102,-94.10039983566007
580,105,-86.96541909519422
600,130,-70.39779329370661
620,67,-54.9356970538343
640,57,-64.05297587111946
660,48,-60.96765459210853
680,34,-62.592206559913016
700,53,-49.25333401774926
720,35,-37.24013873030159
740,36,-59.04377989005754
760,45,-49.44475161058911
780,27,-46.13763229045876
800,51,-33.406051671856346
820,28,-51.37871898631418
840,65,-56.83198833486347
860,57,-1.8410954919835347
880,57,-57.82520687869889
900,55,-19.956814567991252
920,62,-30.24998989491179
940,47,-39.053802004477646
960,66,-23.997479558553486
980,31,-40.91833685956815
1000,31,-24.127170081736374
