Episode,avg length,reward
20,184,-112.72905970876482
40,128,-113.29653406956633
60,186,-107.33609071889737
80,124,-115.78794818416357
100,171,-112.59242757160432
120,323,-95.91008277690733
140,215,-106.64365585933119
160,284,-94.57578009700464
180,265,-90.62804531308544
200,227,-110.19846296675473
220,412,-52.647412994596564
240,485,-5.989922706879677
260,488,-4.125375585442408
280,497,-10.581445263838408
300,468,-17.48292443489428
320,133,-115.85850684946395
340,313,-75.39236563463268
360,367,-48.59493025636652
380,479,-9.631932752796468
400,499,1.826769898989029
420,499,5.245276490000168
440,499,4.408945493319345
460,499,2.3495191576719954
480,461,-17.320971280001714
500,494,-2.92709088020938
520,424,-22.19088280627373
540,499,2.1806124718330495
560,499,2.2417270404205745
580,499,4.119977540584014
600,499,2.579414805607885
620,499,2.852272627126424
640,494,-2.9422102701215467
660,332,-87.72653614719424
680,270,-111.4225738296755
700,499,3.681035191543635
720,499,3.913001677804602
740,499,2.5445036635225415
760,499,0.4757356370673575
780,499,1.3798389522379817
800,499,3.730759504277472
820,499,2.714965939258014
840,499,3.6115674604296695
860,499,3.1098005659545462
880,499,3.427359427573827
900,499,2.6644406314381834
920,499,3.023886146280445
940,499,3.8551705638011646
960,426,-50.77102157353214
980,499,2.6975531967834097
1000,499,0.8881132002423799
