Episode,avg length,reward
20,190,-97.1140926900428
40,228,-87.93589715788461
60,255,-86.00645264012743
80,245,-100.00000000019797
100,354,-52.39258719222357
120,262,-78.67242342346825
140,414,-85.2984450869367
160,432,-23.684101935879813
180,479,-4.8776760132823584
200,442,-29.807277286320748
220,408,-46.64086976931914
240,355,-58.1703799067614
260,214,-86.3372834219822
280,183,-95.1571166010979
300,167,-84.1787065147545
320,284,-68.86077952424486
340,273,-91.81489878270419
360,241,-96.62763917632792
380,189,-100.00000000027602
400,199,-90.62485776754306
420,209,-100.05989503808476
440,242,-90.30298094366006
460,206,-99.99999999990509
480,203,-100.27167410711385
500,222,-100.65482608253846
520,266,-75.12632244210354
540,201,-94.99968926380465
560,311,-68.43382215469455
580,211,-86.47243499558158
600,437,-55.570317884986665
620,354,-84.99999999993238
640,332,-89.999050921193
660,412,-33.62647127846608
680,304,-75.57662992430951
700,458,-20.510579026222885
720,108,-100.86681568729138
740,170,-86.36538787735108
760,223,-79.27525111095387
780,400,-35.16488418457499
800,397,-36.64821641449955
820,330,-54.000299882691536
840,386,-41.37665716299568
860,278,-80.52162065634283
880,187,-86.83819866723414
900,289,-80.96863399440171
920,354,-49.50523817382117
940,254,-74.82410879476484
960,376,-42.41395169105241
980,473,-9.894178108994264
1000,460,-45.0000035879691
