Episode,avg length,reward
20,159,-80.92615775359256
40,207,-84.4788684163944
60,203,-84.82494722919715
80,222,-80.58661434373343
100,234,-71.93517481233508
120,224,-91.0402139569037
140,202,-92.7052268673415
160,286,-82.03474222964431
180,307,-68.70270974784472
200,229,-68.56653335355347
220,202,-83.35289925177258
240,209,-84.77180109781182
260,239,-81.74441900687174
280,273,-79.27575670221512
300,252,-74.63672300004069
320,221,-83.35289925196508
340,230,-83.35289925195539
360,179,-83.35289925183623
380,246,-83.3528992519062
400,203,-85.39942136750378
420,245,-74.53927201974598
440,249,-83.352899252125
460,256,-75.11376320253517
480,310,-60.292261038992265
500,244,-75.55471779194315
520,246,-74.83216548556715
540,202,-78.35627217490119
560,176,-83.35289925200121
580,197,-83.35289925215856
600,262,-78.35289925256953
620,191,-83.35289925215258
640,165,-83.35289925195319
660,143,-83.35289925174173
680,148,-83.35289925176359
700,158,-83.35289925195005
720,152,-83.35289925184529
740,159,-84.68000522130691
760,178,-83.51006986996711
780,256,-83.3528992519177
800,442,-43.35289717881304
820,210,-61.35420318189388
840,259,-44.799798624844364
860,236,-83.35289925197762
880,216,-83.35289925175388
900,164,-83.35289925166826
920,136,-83.35289925179266
940,133,-83.35289925175144
960,142,-83.35289925176635
980,197,-83.35289925177936
1000,214,-83.40209714539536
