Episode,avg length,reward
20,180,-102.2125977455828
40,265,-98.64258529592774
60,282,-98.27545786858916
80,299,-95.14601804764816
100,337,-90.06493037190911
120,264,-100.11525446902274
140,201,-100.42705552984644
160,250,-100.29252084485002
180,287,-99.98853095278521
200,239,-100.8264665412624
220,297,-85.68655571037448
240,222,-100.48010378728705
260,229,-100.41290079102698
280,391,-70.63115364321246
300,125,-101.8773471101488
320,207,-86.57831753145697
340,389,-50.474806716570335
360,272,-95.08746018150865
380,244,-100.02629116969328
400,276,-95.06903747489858
420,287,-95.06007224827569
440,306,-90.11673232620834
460,385,-60.256642670916605
480,257,-95.1019954740606
500,355,-70.20900546416871
520,351,-65.54607848980505
540,366,-60.46895371165463
560,269,-95.3071883503736
580,235,-100.01326923782773
600,257,-100.032086673682
620,232,-100.35459575844736
640,255,-100.2353772884737
660,251,-100.08368763472853
680,304,-85.28438129345088
700,284,-99.93092491973466
720,280,-100.05557431402958
740,311,-99.92711234979257
760,293,-100.16871590770015
780,291,-99.93397069373944
800,271,-100.10106756944778
820,293,-99.93346418558613
840,286,-100.18992141579352
860,288,-99.92949174701424
880,285,-95.15250953492009
900,343,-65.89746534807875
920,279,-80.49078475339118
940,290,-75.84171601776879
960,269,-70.89191078103336
980,304,-75.81345093647806
1000,238,-76.29353245480888
