Episode,avg length,reward
20,59,-490.48223630013143
40,59,-502.4035443226527
60,66,-465.47327170669996
80,91,-556.6736301142967
100,44,-295.06632795602604
120,30,-253.64879145181277
140,37,-262.91754013891557
160,37,-273.81691267713416
180,34,-247.76200707222944
200,34,-284.367750342425
220,31,-272.56600273326956
240,34,-293.058109943769
260,26,-244.74464849122924
280,21,-222.26808313071183
300,23,-233.4447615062398
320,30,-249.0504246849871
340,20,-227.33173347810265
360,26,-247.76485915190761
380,27,-249.20219752166844
400,22,-210.95432246782835
420,26,-237.39705587730532
440,24,-273.0349798260407
460,20,-231.11850156617948
480,25,-240.7084054290402
500,23,-223.54906501836967
520,24,-250.7850401950161
540,27,-256.8075658544143
560,48,-291.01137924073714
580,44,-265.6389717695051
600,47,-295.5843936392023
620,50,-318.54175716899874
640,62,-323.62351449729135
660,131,-571.0456351268949
680,124,-568.6226373753184
700,47,-277.2334908252421
720,85,-319.7671283477228
740,152,-501.9199529871918
760,195,-538.1265761551215
780,200,-538.6736891821471
800,203,-705.6119402809405
820,249,-602.9249940094968
840,173,-460.1319834164309
860,64,-292.2742195643931
880,38,-268.56110711195134
900,67,-283.08844426000223
920,120,-293.6439107508482
940,94,-286.6000961000521
960,129,-342.24425244548587
980,127,-344.54630929991185
1000,191,-368.6692625665908
