Episode,avg length,reward
20,37,-106.93232608257009
40,142,-102.77043721176435
60,210,-100.70308441917743
80,218,-100.37661146908168
100,208,-100.34807482524721
120,224,-100.15408235890007
140,189,-100.88792664791524
160,190,-100.77302555219175
180,224,-100.15694876145179
200,218,-100.17161816877311
220,227,-100.15685716215765
240,208,-100.2711080149043
260,188,-100.61803726701572
280,223,-100.30551997737153
300,185,-101.53093363500375
320,225,-100.45167215799972
340,205,-100.72472785983474
360,211,-100.711290951627
380,225,-100.55146966652276
400,209,-100.62425938886062
420,232,-100.1562213785564
440,224,-100.15669898696227
460,196,-100.17888843232853
480,221,-100.15669903285853
500,221,-100.15669898581363
520,219,-100.15669897831472
540,199,-100.59763231553391
560,211,-100.38759279440599
580,218,-100.15669898123998
600,216,-100.26022371890623
620,240,-100.33942829162572
640,271,-100.47908076632102
660,232,-100.43802779699519
680,241,-100.37150346289941
700,246,-100.25024479050342
720,311,-100.37944135619163
740,234,-100.402402232924
760,204,-100.2201262053144
780,213,-100.16703971157287
800,208,-100.27004902571234
820,223,-100.18320861023703
840,222,-100.17717827664293
860,245,-100.2303404531809
880,193,-100.77137743579092
900,207,-100.43624784890497
920,214,-100.88125380416082
940,199,-100.69950361584856
960,209,-100.7043706998302
980,209,-100.23929479545167
1000,201,-100.45400393358017
1020,213,-100.38210341760261
1040,196,-100.84895475034567
1060,225,-100.15669897042716
1080,203,-100.33686578932259
1100,201,-100.33812689380261
1120,230,-100.16159037110933
1140,201,-100.20437129407036
1160,215,-100.18134672423845
1180,219,-100.1787653003871
1200,230,-100.17604375066138
1220,239,-100.22485913239183
1240,234,-100.29998605627934
1260,240,-100.53970088122739
1280,222,-100.58032372890698
1300,222,-100.42485416482019
1320,238,-100.49355162145011
1340,204,-100.35514248079241
1360,225,-100.34560680347883
1380,202,-100.34031209355263
1400,231,-100.1727251669906
1420,232,-100.18518570752303
1440,230,-100.4035013853028
1460,256,-95.51675656342462
1480,272,-100.36289015997761
1500,268,-81.31116948484433
1520,201,-100.69712532934707
1540,250,-95.67541379102933
1560,208,-100.25893110173115
1580,231,-100.58402253912348
1600,215,-100.22210704992818
1620,229,-100.45392066141666
1640,215,-100.51668811898807
1660,240,-100.2134661329798
1680,212,-100.26161271503896
1700,228,-100.26889446170932
1720,209,-100.67320130378984
1740,235,-100.26921375581671
1760,222,-100.26553907316377
1780,246,-100.22361213163515
1800,206,-100.65879952103464
1820,265,-90.56697247037862
1840,253,-100.2756295850007
1860,297,-90.3507564548102
1880,254,-95.61563351142124
1900,251,-100.27115281224692
1920,248,-100.3092360842993
1940,226,-100.82809758658566
1960,278,-95.33447399634247
1980,245,-100.2060093407565
2000,245,-100.51379776838363
2020,224,-100.55868714446912
2040,210,-100.62032999099392
2060,218,-100.1828294641346
2080,230,-100.45999546186047
2100,235,-100.18144689206551
2120,219,-100.35842003327151
2140,235,-95.66728250444554
2160,241,-95.27521021423259
2180,239,-100.27961726070114
2200,246,-100.47304787667092
2220,227,-100.25574843164517
2240,246,-90.85636568122706
2260,258,-90.66894566418391
2280,267,-90.37470888610058
2300,307,-85.70202407236329
2320,327,-70.98112129112437
2340,323,-71.17608594612514
2360,358,-61.08047224582153
2380,321,-86.16852363199614
2400,331,-81.0595774321691
2420,302,-76.00208162523879
2440,232,-77.15804423848084
2460,237,-77.87140799463347
2480,170,-83.93025558835201
2500,273,-67.63454937605118
2520,258,-81.85697671352114
2540,238,-83.40255232837151
2560,239,-73.12944427554208
2580,213,-82.72113290693514
2600,135,-98.85939795282158
2620,251,-78.06696649886162
2640,215,-92.89190742893764
2660,185,-88.69970164797577
2680,173,-93.02368951848698
2700,253,-67.96590653876942
2720,219,-82.4009263371384
2740,157,-93.26743417346968
2760,183,-84.21076677276054
2780,203,-83.20738493450878
2800,280,-72.45900529384548
2820,255,-77.66250366818605
2840,214,-93.00116488512916
2860,173,-87.86524811300066
2880,247,-87.20549211636066
2900,270,-82.16759921242829
2920,216,-72.95507425179319
2940,200,-87.85579772983375
2960,181,-92.7848419453625
2980,286,-77.51963536086485
3000,193,-97.40624853607588
3020,181,-83.5967313312502
3040,208,-82.7860917850537
3060,233,-68.37072357525253
3080,163,-93.32787383859969
3100,191,-92.94943029628942
3120,257,-77.61400068681978
3140,240,-77.71200097449204
3160,288,-67.33727704716532
3180,241,-77.86229943630073
3200,256,-87.20405884164337
3220,334,-67.25755463025833
3240,305,-66.86354252613506
3260,254,-72.39612159847982
3280,237,-87.774628828234
3300,211,-83.53511017485269
3320,222,-82.7589747829329
3340,218,-73.43782237748347
3360,216,-82.527014091513
3380,214,-83.57899608147905
3400,118,-98.58114354271713
3420,198,-83.22854697220441
3440,184,-83.38165340111986
3460,234,-73.3915821528564
3480,319,-57.06310093309893
3500,243,-78.21684784528216
3520,249,-82.8187820554175
3540,159,-88.64470537003375
3560,187,-83.65129889034276
3580,233,-82.76421102075427
3600,222,-77.85018080842197
3620,221,-83.29658936695625
3640,229,-82.46753503025504
3660,165,-93.1373199683376
3680,130,-93.74813046602807
3700,243,-82.50383913033542
3720,199,-83.49857542108673
3740,267,-67.61796520553992
3760,289,-72.03161178139143
3780,223,-82.77294880596627
3800,299,-72.29494263833578
3820,196,-87.4848798042153
3840,231,-82.33574723825605
3860,187,-78.46632241733438
3880,179,-82.97116150561526
3900,162,-98.39756292286741
3920,227,-72.87585081117639
3940,173,-93.45784698262491
3960,221,-82.58132086872624
3980,238,-78.29888681325977
4000,261,-72.55766828570431
4020,139,-98.45776954998561
4040,246,-77.66329851901592
4060,147,-103.16728929071431
4080,299,-76.6744124118392
4100,118,-103.75905576660587
4120,208,-88.05149235756438
4140,273,-67.89283633474246
4160,166,-97.64280451340117
4180,231,-68.4749652961028
4200,273,-72.3853386934203
4220,193,-78.22164276272723
4240,206,-83.0345706406912
4260,194,-87.67940932537059
4280,230,-77.55849941127985
4300,186,-93.4313315778535
4320,258,-77.33601846877306
4340,296,-86.87924402001481
4360,171,-88.3355660259082
4380,153,-88.95180531618112
4400,248,-77.93136083287044
4420,297,-72.3430068771896
4440,219,-87.6436207710179
4460,209,-88.1389590657329
4480,277,-81.81187444483953
4500,136,-98.48660980651302
4520,193,-88.15420228735287
4540,193,-87.63265253474977
4560,245,-82.072704628526
4580,150,-88.39150254236912
4600,190,-87.92957971659925
4620,228,-92.28290008373011
4640,286,-62.600129065759575
4660,223,-77.87400656966557
4680,144,-93.20145301484543
4700,237,-68.30892482185143
4720,239,-77.98951663499103
4740,216,-87.74787534361651
4760,218,-77.82176824818376
4780,192,-87.5517999667372
4800,259,-62.88356937509949
4820,210,-87.73119110065838
4840,204,-93.53361438692224
4860,271,-77.77126875435795
4880,200,-78.34732430763036
4900,148,-98.22367207484572
4920,193,-78.12486968091157
4940,257,-77.48740818774112
4960,220,-78.06300513461946
4980,211,-88.35555512521827
5000,204,-88.31770838576708
5020,246,-72.69920894399363
5040,270,-77.53773742374696
5060,155,-88.56761570962485
5080,155,-88.52110506925311
5100,209,-87.50476120735809
5120,177,-87.97896352592375
5140,172,-93.27465769939812
5160,202,-82.94484708240682
5180,220,-83.76266399272399
5200,289,-67.64456922483525
5220,266,-72.26928563065245
5240,140,-103.01287424051948
5260,205,-82.98006609171344
5280,213,-77.96224012272953
5300,262,-62.805304231456056
5320,155,-89.00952932400104
5340,196,-78.38094482052367
5360,273,-77.06455335388844
5380,299,-76.84905263939585
5400,161,-83.54764653835318
5420,160,-94.30327997404204
5440,70,-101.16745724598188
5460,54,-106.85954747654523
5480,17,-107.40680253898113
5500,14,-107.48608689821972
5520,18,-107.82139040896732
5540,17,-107.66851572824785
5560,15,-107.74096639759689
5580,16,-107.69501879464595
5600,16,-107.75320824112882
5620,15,-107.36189259379792
5640,18,-107.64125135575821
5660,17,-108.04395604486055
5680,17,-107.69916423696307
5700,18,-107.52154678738376
5720,16,-107.76252151900174
5740,16,-107.65269829654673
5760,18,-107.74820213603155
5780,15,-107.31216763540772
5800,17,-107.91213773845297
5820,19,-107.61418043424214
5840,19,-107.80235199312384
5860,15,-107.70199041751187
5880,15,-107.45350847250941
5900,17,-107.67702343468052
5920,17,-107.66274720949221
5940,18,-107.63779057717666
5960,16,-107.6420546994154
5980,19,-107.78172465418709
6000,17,-107.71969977924277
6020,17,-107.55027467827067
6040,17,-107.836656278085
6060,17,-107.7554613836526
6080,18,-108.24209325577701
6100,15,-107.78842966962733
6120,16,-107.90345427799464
