Episode,avg length,reward
20,131,-94.77217200165461
40,53,-100.39543587021026
60,49,-104.22506850874156
80,115,-78.94054915497658
100,34,-99.20777682344621
120,86,-111.76305768806535
140,39,-94.60115095037078
160,43,-114.64979984092949
180,48,-110.17913975202134
200,131,-100.55078672823474
220,177,-111.740591436966
240,208,-130.67898739612622
260,150,-108.71096407117405
280,120,-77.39200179308985
300,193,-107.47149401472764
320,86,-99.91961746380363
340,62,-101.12135943935893
360,148,-108.04355120294807
380,194,-104.36846649851756
400,88,-100.43871317134194
420,85,-114.86240628302944
440,34,-102.15604746233568
460,24,-92.365895450144
480,102,-92.08103974582309
500,17,-97.09909775464189
520,16,-94.84054316324107
540,17,-97.39308416198541
560,15,-87.03064605673596
580,15,-95.0226650443191
600,16,-96.35469284356154
620,16,-94.89886456158968
640,17,-96.06639492912412
660,15,-91.90663015024073
680,16,-95.71083967429526
700,19,-94.30714740746956
720,21,-94.0787163228836
740,85,-101.87774410292573
760,103,-111.44080108993599
780,125,-104.8626600294089
800,172,-98.21596140008681
820,238,-98.96356853539801
840,279,-97.33883479444538
860,217,-85.99888559564813
880,28,-92.8371181954503
900,26,-96.83440060997269
920,29,-99.31129406848372
940,84,-90.69906862272299
960,125,-95.21975205858762
980,198,-91.1966744334157
1000,80,-98.0946725443795
