Episode,avg length,reward
20,128,-125.38194127243146
40,79,-116.59105317462203
60,143,-128.79146841872404
80,67,-117.51421659163472
100,62,-117.5983148121699
120,74,-116.97105087724321
140,83,-125.98927264621291
160,83,-133.7856351582037
180,102,-132.79970189450333
200,23,-118.48438752063718
220,133,-126.93476139663592
240,119,-111.15701493867043
260,187,-126.98431728801378
280,140,-155.9397111723577
300,99,-132.15079909453704
320,93,-126.25415367571854
340,27,-116.76303398372454
360,27,-118.25968531831438
380,53,-125.66397766724413
400,94,-124.94747681061631
420,110,-126.18904155123691
440,52,-141.53135246145706
460,107,-141.654850207574
480,56,-117.33842200530071
500,77,-118.06971609464131
520,129,-124.79574508304727
540,98,-116.6031410714482
560,57,-116.26614322819528
580,120,-133.7015278284883
600,110,-140.33204083046002
620,165,-125.90536040257382
640,119,-117.80877367701157
660,143,-150.66854901808236
680,225,-123.76816984226389
700,146,-116.66895895989266
720,160,-96.26681233604938
740,300,-106.24092373528329
760,140,-110.66688215850968
780,126,-110.98369412366841
800,240,-94.9363643147203
820,120,-111.10328849758582
840,171,-111.1243763686687
860,297,-118.24496515478313
880,235,-101.71625928596623
900,180,-111.43881092674496
920,237,-109.12899523286914
940,116,-118.09919242035264
960,210,-117.33908724902444
980,144,-116.96383149673935
1000,110,-118.43686009330767
