Episode,avg length,reward
20,105,-98.5391347345824
40,163,-98.85151091169939
60,196,-100.12852607624757
80,177,-100.78395414683217
100,211,-97.44314667637087
120,207,-101.18211420249301
140,199,-99.4160556106721
160,232,-97.95895559670852
180,214,-89.7452884561937
200,226,-101.14235906328739
220,126,-100.74997221229187
240,145,-97.94055524570935
260,173,-99.23416121021293
280,160,-103.65337654949545
300,134,-104.947421514807
320,88,-99.06036486029929
340,199,-92.00561774716009
360,235,-97.81595673859572
380,205,-100.2860751597484
400,186,-104.50014185411514
420,162,-99.63835472589486
440,129,-87.38409702513499
460,93,-95.64733664436403
480,105,-97.61898365807761
500,163,-94.63738800902517
520,133,-97.76544992800159
540,216,-92.55762051710285
560,169,-91.41898324450496
580,199,-93.2127644647666
600,209,-95.5368993057898
620,200,-100.95218284428185
640,183,-100.29535921082666
660,214,-100.10379412130735
680,171,-94.25901128236713
700,162,-99.99999999969909
720,224,-93.9087954124523
740,166,-99.45414208518928
760,171,-99.40279938089772
780,249,-99.7839337918987
800,197,-99.78545097187562
820,82,-98.79868319763243
840,224,-101.97848812800412
860,280,-99.02338838789429
880,277,-89.13014422337798
900,294,-80.74295883903261
920,192,-94.40905994583026
940,157,-99.55085362480479
960,193,-94.91855110877609
980,137,-100.00000000026795
1000,143,-99.99999999998818
