Episode,avg length,reward
20,80,-80.60862023367375
40,183,-84.04222214146797
60,137,-88.69782614717343
80,112,-97.33453206306818
100,49,-76.51544288949643
120,57,-61.87744008883864
140,62,-99.11321804141943
160,69,-95.51609600380206
180,129,-83.73410209467818
200,121,-85.28171789527522
220,38,-83.52768338811028
240,101,-90.26694489926857
260,283,-55.353889068683046
280,252,-70.54965630986047
300,232,-68.85569186122201
320,157,-92.14477284500842
340,216,-83.5721837140938
360,192,-75.25782626580747
380,225,-86.44875779417508
400,295,-52.629518571279064
420,267,-74.87987923170486
440,174,-71.99130142067966
460,176,-83.8933870442689
480,186,-87.2192269637015
500,217,-87.19508955468349
520,192,-91.01409000513544
540,212,-85.5350786006812
560,188,-95.46277598893049
580,60,-86.35479042326925
600,49,-105.33026041185228
620,45,-92.17912249930558
640,44,-65.78760686810148
660,49,-70.10391975863038
680,50,-88.1156706431051
700,67,-87.91029827358146
720,87,-99.23033132545254
740,131,-102.67606469208545
760,206,-95.3603042521452
780,226,-87.87747688895745
800,259,-63.29576952247
820,262,-61.522618071832525
840,254,-64.5156968352992
860,198,-69.71178188944836
880,247,-70.82098048197693
900,294,-61.31778399231352
920,327,-60.440239543929465
940,374,-32.04948811774516
960,243,-73.35643840448007
980,181,-76.30770829851102
1000,52,-99.68213187658475
