Episode,avg length,reward
20,29,-108.11201942781022
40,165,-102.43047665409703
60,216,-100.36915579869952
80,189,-100.39188848545766
100,194,-100.93474072602827
120,222,-100.16398961475319
140,217,-100.15882570374102
160,198,-101.16685270401783
180,217,-100.321443567447
200,199,-100.50786668761705
220,203,-100.63838514182416
240,210,-100.37848449551154
260,201,-100.83743781984839
280,223,-100.58387059142164
300,218,-100.27848733333957
320,194,-100.72183869006676
340,197,-100.60512850336593
360,202,-100.40778590603006
380,258,-100.17551038995126
400,258,-95.61440183324149
420,208,-101.05792360851027
440,224,-100.1645012208902
460,224,-100.156698991298
480,219,-100.1516778173862
500,210,-100.37854766431485
520,208,-100.17163549104067
540,215,-100.36515918325054
560,219,-100.1557776437743
580,201,-100.45380513246386
600,201,-100.37587831808669
620,175,-100.91707263740543
640,216,-100.52323979502768
660,217,-100.76547500404419
680,246,-95.24575155726669
700,152,-102.03023810735989
720,199,-100.98946763126928
740,212,-100.27195589488286
760,224,-100.15656510460812
780,224,-100.15669910476132
800,207,-100.47707405313376
820,211,-100.56516754998697
840,174,-101.68816132607058
860,216,-100.74921656515798
880,200,-100.43628347894949
900,149,-102.29747984817773
920,209,-100.91467328607995
940,234,-100.15669896056885
960,203,-100.45651690527484
980,204,-100.46103325207193
1000,212,-100.17753063381399
1020,221,-100.15669895144828
1040,205,-100.30864797203739
1060,210,-100.38612380497953
1080,219,-100.15669897475554
1100,205,-100.44792935769757
1120,212,-100.2616535216869
1140,211,-100.1962687866331
1160,204,-100.4489082024422
1180,212,-100.36916510573467
1200,188,-100.75818771253732
1220,213,-100.41882078452704
1240,199,-100.91114687394246
1260,226,-100.30918992921937
1280,208,-100.40769121640396
1300,223,-100.15670288290505
1320,220,-100.15669899550636
1340,229,-100.15581253520452
1360,175,-101.72429369025238
1380,224,-100.17646558195132
1400,217,-100.4098937402077
1420,211,-100.4725786031883
1440,202,-100.64110244482339
1460,201,-100.46543896806936
1480,227,-100.15669898097313
1500,213,-100.50184608078993
1520,177,-100.56355006032501
1540,201,-100.71651790394961
1560,211,-100.4633314972387
1580,213,-100.54169212718989
1600,214,-100.17081190513767
1620,192,-100.68367863359997
1640,214,-100.45859619683577
1660,231,-100.15669630344902
1680,189,-101.12534792743112
1700,218,-100.1571397797763
1720,205,-100.77930790856587
1740,194,-100.75450539388468
1760,202,-100.53474473516931
1780,204,-100.23319271993759
1800,214,-100.17248334616573
1820,203,-100.79473496534159
1840,191,-100.82627358110558
1860,189,-100.99669239246637
1880,212,-100.4491502643278
1900,202,-100.45194074924454
1920,185,-100.67322605223907
1940,221,-100.15578040330963
1960,185,-100.21060868725664
1980,222,-100.22345336302898
2000,224,-100.24961663995485
2020,242,-100.4252075030755
2040,233,-100.18532206820608
2060,214,-100.20560979040548
2080,216,-100.36690135281846
2100,232,-100.1569952600113
2120,190,-100.92390422446667
2140,206,-100.7659560172909
2160,195,-100.97020301274632
2180,226,-100.15669822523458
2200,218,-100.15669900607597
2220,200,-100.28741034370921
2240,200,-100.25257174582025
2260,209,-100.42836660515573
2280,202,-100.65580515383424
2300,190,-100.52523014760673
2320,190,-100.42363435868859
2340,211,-100.44351819272941
2360,216,-100.17584844519055
2380,218,-100.15669897326782
2400,228,-100.15815322981767
2420,199,-100.60508163528893
2440,208,-100.45233054909278
2460,167,-100.87760063537509
2480,213,-100.50689677137402
2500,218,-100.29133295759782
2520,191,-100.30643946604205
2540,226,-100.1566989772454
2560,222,-100.15669898087728
2580,221,-100.15669897629705
2600,190,-100.34559327100564
2620,226,-100.15669897098758
2640,224,-100.15669899353284
2660,198,-100.73239963188344
2680,223,-100.15669898104017
2700,224,-100.15669897900897
2720,210,-100.41795085639959
2740,201,-100.64326044546341
2760,222,-100.15669897251995
2780,195,-100.55545692407718
2800,192,-100.6904190019834
2820,222,-100.1566989820029
2840,215,-100.27109610500415
2860,206,-100.52787708863531
2880,226,-100.15669895909701
2900,212,-100.17212237349551
2920,206,-100.35042034328151
2940,194,-100.84251540078847
2960,216,-100.17003057696121
2980,215,-100.16769691225826
3000,224,-100.15669895757983
3020,218,-100.3913448801077
3040,208,-100.3817622829484
3060,211,-100.54511834407029
3080,213,-100.18538045116904
3100,201,-100.3697516136085
3120,195,-101.18326038652881
3140,189,-101.21747802599651
3160,230,-100.32143778299864
3180,206,-100.54804563154538
3200,224,-100.1567419992417
3220,217,-100.1642311487067
3240,224,-100.15669896680272
3260,201,-100.41764051081032
3280,228,-100.15669898077223
3300,194,-100.59470386117476
3320,224,-100.15669183783197
3340,187,-100.87270651056124
3360,208,-100.38477066408869
3380,186,-100.29961955326613
3400,208,-100.17259384557123
3420,213,-100.21973867226579
3440,210,-100.34966957264267
3460,202,-100.2723836672699
3480,220,-100.15666295455404
3500,207,-100.4580093251848
3520,206,-100.25323917253863
3540,193,-100.21915829934098
3560,220,-100.15669639653929
3580,222,-100.15669896960814
3600,211,-100.1687031238981
3620,205,-100.28421036842346
3640,197,-100.51529685713983
3660,223,-100.156698968903
3680,225,-100.15669897151366
3700,210,-100.35421681631678
3720,224,-100.15669897849476
3740,213,-100.1696830963676
3760,223,-100.15669897451994
3780,221,-100.15669897290977
3800,223,-100.15669897761367
3820,215,-100.2069513796243
3840,201,-100.55617386196968
3860,201,-100.27057358188081
3880,206,-100.34875851248431
3900,222,-100.15669896365729
3920,211,-100.3541774541697
3940,221,-100.15669897623738
3960,223,-100.156698975558
