Episode,avg length,reward
20,58,-502.767440673043
40,22,-241.1123718287346
60,19,-216.05757658825215
80,21,-209.63512290233658
100,21,-229.08405458409794
120,45,-319.4338282154928
140,54,-387.0592952758864
160,41,-355.3139331956548
180,20,-214.21617841122276
200,16,-205.2981184437571
220,20,-228.4410203305519
240,18,-219.7246165501884
260,15,-188.15545653823168
280,14,-190.56180428644103
300,16,-200.9522895017391
320,15,-219.28689640822222
340,15,-209.80662533380328
360,14,-197.54425046129626
380,16,-218.61218179943916
400,15,-229.29592279376578
420,14,-190.56243187336742
440,14,-208.23650060742156
460,15,-210.09857169403622
480,15,-218.28375629900543
500,14,-216.95348259067828
520,14,-207.14872101208067
540,15,-212.16416544326458
560,13,-206.63244624505342
580,14,-215.88186131180015
600,15,-213.41166798048238
620,15,-228.59417070399718
640,14,-214.53608786913975
660,14,-200.72931231123817
680,15,-212.9085775161089
700,14,-191.48333943103006
720,14,-205.2699070647412
740,14,-218.26221309900583
760,13,-204.550586239169
780,14,-202.32033777542011
800,13,-193.40396927593204
820,15,-221.41125831128903
840,13,-194.41478241371732
860,15,-214.59864360428878
880,15,-207.42831231136083
900,14,-202.2610941100296
920,14,-206.5326162387101
940,16,-217.4452319575865
960,14,-229.88249007237118
980,14,-216.2699050979946
1000,13,-193.54542372231532
